"New","Новий"
"Processing","В обробкці"
"Complete","Готово"
"Closed","Закрито"
"Canceled","Відмінено"
"On Hold","Відкладено"
"Payment Review","Перевірка платежу"
"Suspected Fraud","Підозра в шахрайстві"
"Configure","Configure"
"Add Selected Product(s) to Order","Додати вибрані продукти до ордера"
"Cancel","Відміна"
"You can not change the payment method for an order with an invoice(s).","Ви не может редагувати пеймент метод для ордерів, які мають інвойси."
"Log","Лог змін"
"Documentation","Документація"
"Unlimited","Безліміт"
"Please upgrade your account in order to continue editing orders this month.","Обновіть щоб продовжити використання."
"The number of orders you are permitted to edit this month has been reached. Please upgrade your account in order to continue editing orders.","Досягнуто місячного ліміту."
"You can edit %1 order(s) this month.","Ви можете редагувати %1 ордер(ів) цього місяця"
"There was an error when trying to delete the credit memo. Please try again.","На жаль, сталася помилка під час видалення кредіт мето."
"You have successfully deleted credit memo #%1.","Ви видалили кредіт мемо #%1"
"Deletion of credit memos is not permitted. You may enable this option in the Order Manager settings.","Заборонено видаляти кредіт мемо"
"Credit memo %1 could not be deleted as deletion of credit memos is not permitted. You may enable this option in the Order Manager settings.","%1 кредіт мемо не можуть бути видалені."
"Credit memo could not be deleted as deletion of credit memos is not permitted. You may enable this option in the Order Manager settings.","Не можна видалити деякі кредіт мемо."
"Credit memo %1 has been deleted.","Ви видалили %1 кредіт мемо."
"There was an error when trying to delete the invoice. Please try again.","На жаль, сталася помилка під час видалення інвойса."
"You have successfully deleted invoice #%1.","You have successfully deleted invoice #%1."
"Deletion of invoices is not permitted. You may enable this option in the Order Manager settings.","Deletion of invoices is not permitted. You may enable this option in the Order Manager settings."
"Invoice %1 could not be deleted as deletion of invoices is not permitted. You may enable this option in the Order Manager settings.","Invoice %1 could not be deleted as deletion of invoices is not permitted. You may enable this option in the Order Manager settings."
"Invoice could not be deleted as deletion of invoices is not permitted. You may enable this option in the Order Manager settings.","Invoice could not be deleted as deletion of invoices is not permitted. You may enable this option in the Order Manager settings."
"Invoice %1 has been deleted.","Invoice %1 has been deleted."
"Sales","Sales"
"IWD Order Manager","IWD Order Manager"
"IWD Order Manager Log","IWD Order Manager Log"
"There was an error when trying to delete the order. Please try again.","На жаль, сталася помилка під час видалення ордера."
"You have successfully deleted %1 order(s).","You have successfully deleted %1 order(s)."
"Deletion of orders is not permitted. You may enable this option in the Order Manager settings.","Deletion of orders is not permitted. You may enable this option in the Order Manager settings."
"Shipping &amp; Handling Information","Shipping &amp; Handling Information"
"Payment Information","Payment Information"
"Can not load customer with email","Can not load customer with email"
"Email is empty","Email is empty"
"Comment was removed successfully.","Comment was removed successfully."
"Order item id is not received.","Order item id is not received."
"Order item is not loaded.","Order item is not loaded."
"Quote item is not loaded.","Quote item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Order %1 could not be deleted as deletion of orders is not permitted. You may enable this option in the Order Manager settings.","Order %1 could not be deleted as deletion of orders is not permitted. You may enable this option in the Order Manager settings."
"Order could not be deleted as deletion of orders is not permitted. You may enable this option in the Order Manager settings.","Order could not be deleted as deletion of orders is not permitted. You may enable this option in the Order Manager settings."
"You have successfully deleted %1 order(s).","You have successfully deleted %1 order(s)."
"The status of these orders cannot be changed. You may enable this option in the Order Manager settings.","The status of these orders cannot be changed. You may enable this option in the Order Manager settings."
"Status has not been updated for %1 order(s).","Status has not been updated for %1 order(s)."
"The status for orders %1 has been updated.","The status for orders %1 has been updated."
"There was an error when trying to delete the shipment. Please try again. ","На жаль, сталася помилка під час видалення шіпмента. "
"You have successfully deleted shipment #%1.","You have successfully deleted shipment #%1."
"Deletion of shipments is not permitted. You may enable this option in the Order Manager settings.","Deletion of shipments is not permitted. You may enable this option in the Order Manager settings."
